iter	RMSE
0	6582.378018
1	6532.61003
2	6482.216218
3	6446.275546
4	6403.484642
5	6355.392333
6	6316.433706
7	6277.219723
8	6234.274228
9	6193.1576
10	6141.280235
11	6100.367174
12	6064.415735
13	6017.578988
14	5978.402269
15	5930.386933
16	5891.275265
17	5847.840189
18	5805.476725
19	5762.124674
20	5716.310912
21	5679.159266
22	5641.101322
23	5610.45504
24	5568.571756
25	5534.586657
26	5500.144901
27	5466.349738
28	5429.132667
29	5394.119443
30	5360.157443
31	5326.437138
32	5300.731136
33	5270.836513
34	5237.177931
35	5196.72387
36	5171.526788
37	5139.435331
38	5106.561129
39	5079.222431
40	5045.916622
41	5012.851826
42	4988.688184
43	4954.469256
44	4921.501174
45	4885.38658
46	4854.359686
47	4824.046345
48	4793.979244
49	4759.557886
50	4729.409186
51	4700.577059
52	4671.22428
53	4636.834796
54	4608.317956
55	4580.406667
56	4550.968176
57	4518.507854
58	4494.618297
59	4465.201927
60	4438.069085
61	4414.10946
62	4384.481781
63	4358.645777
64	4332.06058
65	4306.849787
66	4280.148806
67	4249.587428
68	4224.418416
69	4195.499988
70	4166.132161
71	4140.94403
72	4116.597672
73	4087.478286
74	4062.413878
75	4039.049145
76	4017.227429
77	3993.443776
78	3969.071905
79	3942.250556
80	3918.12922
81	3893.863981
82	3870.958222
83	3850.23462
84	3824.744346
85	3800.251453
86	3780.253183
87	3759.112747
88	3734.404698
89	3712.073679
90	3690.028661
91	3667.204622
92	3644.738758
93	3622.342503
94	3603.106151
95	3582.458632
96	3563.832417
97	3539.36618
98	3517.604658
99	3498.479783
100	3479.178747
101	3458.003184
102	3440.694783
103	3420.102444
104	3399.239844
105	3378.965187
106	3357.917811
107	3337.192105
108	3317.141249
109	3299.240878
110	3281.640637
111	3261.08787
112	3244.162619
113	3227.366752
114	3210.479241
115	3191.244665
116	3171.177611
117	3153.305344
118	3135.283419
119	3117.302353
120	3098.999267
121	3082.983997
122	3065.058789
123	3049.094003
124	3028.85693
125	3009.963605
126	2994.459935
127	2979.677182
128	2963.150999
129	2947.061596
130	2929.677067
131	2914.598677
132	2896.376132
133	2880.647664
134	2865.237595
135	2847.959221
136	2831.250369
137	2816.234367
138	2799.918549
139	2783.816085
140	2767.151697
141	2750.117657
142	2736.145784
143	2720.298539
144	2704.263769
145	2687.920392
146	2671.675346
147	2657.506728
148	2644.64483
149	2630.138032
150	2616.112131
151	2600.662358
152	2586.351138
153	2570.835479
154	2556.575959
155	2543.197149
156	2529.672349
157	2514.63788
158	2499.575098
159	2485.421692
160	2472.800961
161	2460.242884
162	2446.939398
163	2434.556397
164	2422.257431
165	2408.431124
166	2394.733433
167	2382.140887
168	2368.603999
169	2354.195083
170	2342.923857
171	2331.732059
172	2320.35982
173	2309.31501
174	2297.812148
175	2284.938274
176	2273.021459
177	2261.185962
178	2248.224634
179	2235.419917
180	2221.8209
181	2210.209606
182	2197.114436
183	2186.231476
184	2173.634488
185	2161.572204
186	2151.363356
187	2138.777522
188	2127.772045
189	2115.357918
190	2104.709157
191	2094.165723
192	2083.410054
193	2072.54687
194	2062.208298
195	2052.554431
196	2040.920735
197	2029.647894
198	2018.89099
199	2006.917616
200	1996.149426
201	1986.838858
202	1976.59995
203	1965.786597
204	1953.677335
205	1944.136632
206	1931.984669
207	1922.132666
208	1912.656297
209	1900.937973
210	1891.438948
211	1882.025024
212	1872.840801
213	1863.44731
214	1852.797326
215	1843.819411
216	1834.701344
217	1825.886238
218	1816.679279
219	1807.452305
220	1796.37381
221	1787.734768
222	1777.828525
223	1769.30004
224	1760.743691
225	1752.329033
226	1742.767017
227	1734.498767
228	1725.879513
229	1717.683362
230	1709.119059
231	1698.802879
232	1690.797731
233	1682.847227
234	1674.91424
235	1664.805163
236	1656.932602
237	1647.720516
238	1638.852737
239	1631.12934
240	1623.527803
241	1615.434702
242	1607.157767
243	1599.704431
244	1592.3022
245	1584.516532
246	1575.489527
247	1568.228274
248	1561.016901
249	1553.857189
250	1546.592064
251	1539.458275
252	1532.413334
253	1525.447043
254	1517.378891
255	1509.257385
256	1502.424379
257	1494.868879
258	1486.520121
259	1479.336545
260	1472.649155
261	1466.036374
262	1459.067566
263	1452.450729
264	1445.240852
265	1438.77793
266	1431.85126
267	1424.385883
268	1418.075346
269	1411.808966
270	1405.134302
271	1397.546222
272	1390.689618
273	1383.76039
274	1377.177572
275	1370.382171
276	1363.930969
277	1357.603776
278	1351.329678
279	1342.796231
280	1335.873358
281	1328.905951
282	1322.356955
283	1315.9267
284	1309.893769
285	1303.484677
286	1297.168569
287	1291.245735
288	1283.979278
289	1277.263294
290	1271.40468
291	1265.974608
292	1259.619179
293	1253.280569
294	1247.625957
295	1242.006855
296	1235.663832
297	1230.12483
298	1224.022467
299	1218.200188
300	1212.720692
301	1206.975922
302	1201.640463
303	1195.555172
304	1189.208438
305	1182.902775
306	1177.339475
307	1171.117778
308	1165.611591
309	1160.517738
310	1155.133418
311	1149.780872
312	1144.767542
313	1139.453644
314	1134.18166
315	1128.939707
316	1122.211633
317	1117.038532
318	1112.250018
319	1107.172804
320	1101.333178
321	1096.636989
322	1089.809972
323	1084.835287
324	1078.376868
325	1073.799486
326	1067.415161
327	1061.894317
328	1056.33589
329	1051.875724
330	1046.868091
331	1042.168434
332	1036.742631
333	1031.424377
334	1026.819554
335	1021.450577
336	1016.866264
337	1012.330981
338	1007.112798
339	1002.235846
340	997.4247628
341	992.2147801
342	987.2132907
343	982.881815
344	978.5567486
345	973.6514969
346	968.7062043
347	963.7983144
348	958.0673632
349	953.9066146
350	949.0915454
351	944.5856653
352	940.1116133
353	935.6684145
354	931.2573973
355	926.8775806
356	922.5280436
357	918.2100249
358	913.7179877
359	908.3622592
360	904.1234353
361	899.9236681
362	895.7536741
363	891.433989
364	887.3195479
365	883.2352826
366	879.1791748
367	875.1528284
368	871.1551597
369	866.580184
370	862.6300176
371	859.0477818
372	855.1507376
373	851.2897584
374	847.4563789
375	843.6504273
376	839.8717334
377	835.5205192
378	831.7940415
379	827.5047028
380	823.2507994
381	819.0319323
382	814.8477105
383	810.697751
384	806.5816784
385	802.4991247
386	798.4497294
387	794.4331388
388	790.4490064
389	786.4969921
390	782.5767625
391	778.6879906
392	775.5770063
393	771.7392862
394	767.9323038
395	764.15575
396	760.4093213
397	756.69272
398	753.0056537
399	750.0339244
400	746.3950355
401	743.4641583
402	739.8728405
403	736.982331
404	733.4379889
405	729.9218508
406	727.1009959
407	723.6315731
408	720.1897352
409	716.775223
410	713.3877817
411	710.649671
412	707.3078255
413	704.6090577
414	700.869411
415	697.1683249
416	694.5241835
417	691.9001356
418	689.296066
419	686.7118597
420	684.1388978
421	681.5857275
422	679.0640329
423	676.5497851
424	673.4478314
425	670.370863
426	666.426742
427	662.9673944
428	660.5432598
429	656.6622686
430	654.270162
431	650.4308475
432	646.6197161
433	643.288892
434	639.9931939
435	636.7321565
436	634.4299576
437	632.1456341
438	628.4470146
439	624.7755932
440	621.1311685
441	618.8829873
442	615.2770271
443	612.1695693
444	609.094918
445	606.0526422
446	603.0423189
447	600.0635332
448	597.933952
449	594.0312566
450	591.9294667
451	588.0701081
452	584.6577289
453	581.788557
454	578.94944
455	576.1399923
456	573.9274995
457	570.2711788
458	567.5381457
459	565.3796003
460	563.2388937
461	559.6934715
462	557.5866995
463	555.4973271
464	553.4252298
465	549.9767157
466	547.9374844
467	545.9151088
468	544.0506264
469	540.6907833
470	538.2042535
471	535.7435767
472	532.4811982
473	530.5536889
474	528.6420989
475	526.2649223
476	523.9123755
477	521.6306214
478	518.5107469
479	516.2663784
480	514.0400568
481	511.8316542
482	509.6410441
483	507.4681007
484	504.4847008
485	502.3475216
486	500.2275988
487	498.1248112
488	496.0390384
489	493.9701611
490	491.9180605
491	489.8826191
492	487.8637201
493	485.9399627
494	483.1485499
495	481.2524425
496	478.5095699
497	476.6408066
498	474.7900822
499	472.9572032
500	470.2800673
501	467.6409774
502	465.8435472
503	464.3069033
504	461.7260296
505	459.9651359
506	458.2213099
507	456.4943692
508	453.9763737
509	452.2747789
510	449.8014123
511	448.1248836
512	446.6866245
513	444.2684961
514	442.6266134
515	441.2215049
516	438.8575888
517	437.2498142
518	435.8772111
519	434.29474
520	431.9922971
521	430.4335591
522	428.1726516
523	426.6373816
524	425.3259383
525	423.1163441
526	421.6135029
527	420.3327597
528	418.8538675
529	417.3896044
530	415.2462418
531	413.8043246
532	411.7002503
533	410.4773621
534	409.0663657
535	407.0107163
536	405.5275254
537	404.1461016
538	402.1448531
539	400.7848668
540	399.4384873
541	397.4819018
542	396.3429025
543	394.9411806
544	393.631732
545	391.7364318
546	390.4475854
547	389.0914282
548	387.8229792
549	385.9858121
550	384.6667716
551	383.4257036
552	382.1281378
553	380.9068938
554	379.1411468
555	377.8793329
556	376.6847273
557	375.5023929
558	373.7915226
559	372.6282796
560	371.4769925
561	369.8057167
562	368.673117
563	367.0339306
564	365.9197919
565	364.8171296
566	363.6588354
567	362.5742008
568	360.9934716
569	359.8677936
570	358.7544557
571	357.6533098
572	356.5642097
573	355.4870117
574	353.9946342
575	352.9416402
576	351.9000946
577	350.8698632
578	349.8508136
579	348.8428156
580	347.8457408
581	346.8594628
582	345.8838569
583	344.5093272
584	343.5556049
585	342.6121561
586	341.678864
587	340.7556137
588	339.8422916
589	338.9387859
590	338.0449863
591	336.7677564
592	335.8939857
593	335.0295643
594	334.1743887
595	333.3283568
596	332.4913677
597	331.6633219
598	330.8441212
599	329.6567883
600	328.8559392
601	328.0636147
602	327.2797225
603	326.5041714
604	325.7368713
605	323.5116338
606	322.7556349
607	320.5535981
608	318.371433
609	317.6296684
610	315.4702784
611	314.7394543
612	312.6026097
613	310.4850699
614	309.7680439
615	307.6726372
616	305.596169
617	304.8927082
618	302.8379691
619	302.1449123
620	300.1116844
621	298.0968573
622	297.4169515
623	295.4232442
624	293.4475902
625	292.7806142
626	290.8079214
627	290.1507957
628	288.2152707
629	286.2972994
630	284.7054313
631	284.0648962
632	282.1614131
633	280.2753604
634	279.6469865
635	277.7986185
636	277.179613
637	275.3507088
638	273.5184942
639	272.9113312
640	271.1171069
641	269.3195824
642	268.7240642
643	266.9639004
644	266.3773009
645	264.6357377
646	262.8896753
647	261.4725083
648	260.9009058
649	259.1850246
650	258.6219596
651	256.9438233
652	255.260557
653	254.7083805
654	253.0622319
655	251.4311238
656	250.8897034
657	249.2548142
658	247.9419092
659	247.4121099
660	245.805502
661	244.2339458
662	243.7144673
663	242.1596521
664	240.597077
665	240.087749
666	238.5627383
667	238.0900381
668	236.5598017
669	235.343791
670	234.8810364
671	233.3774699
672	232.9216012
673	232.4702025
674	232.0232351
675	231.5806609
676	230.7450667
677	230.3110811
678	229.8813694
679	229.0698048
680	227.6250525
681	226.1936405
682	224.7556075
683	224.3404308
684	223.9293438
685	223.522311
686	223.1192975
687	222.356292
688	221.9611486
689	221.5699151
690	220.8289919
691	220.4454194
692	218.8310613
693	218.4526321
694	216.8564974
695	216.143137
696	214.5667327
697	213.0068813
698	211.5605283
699	210.1418231
700	208.7772176
701	207.155795
702	205.6973597
703	204.3465205
704	202.9203903
705	201.5146449
706	200.090824
707	198.718085
708	197.23065
709	195.9754682
710	194.6511427
711	193.3458123
712	192.9148412
713	191.5018034
714	191.0762877
715	189.7752689
716	188.5205727
717	187.2839643
718	186.8676767
719	185.5294893
720	185.1184889
721	184.7114659
722	183.4803216
723	182.2933737
724	181.1236524
725	180.7255046
726	179.459968
727	178.9392441
728	177.8090178
729	176.7471791
730	175.6426532
731	175.3309176
732	174.1351981
733	173.8276911
734	172.718587
735	171.6582218
736	170.6134373
737	170.3128455
738	170.01523
739	169.7205643
740	168.5918939
741	168.0274814
742	166.9790137
743	165.9842758
744	165.4380368
745	164.4214383
746	163.4573654
747	162.9286435
748	162.0198449
749	161.502491
750	160.5348347
751	160.0280766
752	159.081007
753	158.5845922
754	157.657701
755	157.1713849
756	156.2642724
757	155.7878184
758	154.900093
759	154.433272
760	153.5645503
761	153.1071404
762	152.2570468
763	151.808833
764	151.0399345
765	150.6010736
766	149.7845708
767	149.3544769
768	148.5555637
769	148.1340418
770	147.7189446
771	146.939228
772	146.5323668
773	145.769508
774	145.3707036
775	144.6243713
776	144.2334496
777	143.5033187
778	142.662039
779	141.8296882
780	141.0061727
781	140.1914004
782	139.3852801
783	138.5877217
784	137.798636
785	137.017935
786	136.3114862
787	135.6161341
788	134.9017245
789	134.282147
790	133.7332738
791	133.1314945
792	132.3800576
793	131.6366506
794	130.8649137
795	130.3375926
796	129.6116033
797	128.8576985
798	128.2062382
799	127.6972847
800	127.1974725
801	126.6439695
802	126.1579183
803	125.6202298
804	124.9246903
805	124.2025743
806	123.5214058
807	122.8142468
808	122.4829382
809	121.7861225
810	121.0971658
811	120.5776711
812	120.0656162
813	119.5608944
814	118.994783
815	118.5021723
816	118.0166091
817	117.4688292
818	116.9948699
819	116.6455398
820	116.1120922
821	115.7737963
822	115.4293779
823	114.9080501
824	114.5141412
825	114.1837095
826	113.7958549
827	113.4700615
828	112.9949758
829	112.6604275
830	112.1563595
831	111.7780616
832	111.3389574
833	111.0099194
834	110.5197179
835	110.1488606
836	109.7826087
837	109.4732888
838	109.1126742
839	108.6907478
840	108.2419144
841	107.8888765
842	107.5885836
843	107.1485716
844	106.8331245
845	106.5204961
846	106.0185904
847	105.6753329
848	105.2717724
849	104.9339376
850	104.6003279
851	104.2049969
852	103.6648668
853	103.3602631
854	102.8828144
855	102.5817575
856	102.2556577
857	101.9336539
858	101.4048825
859	100.8819335
860	100.3647417
861	99.8532428
862	99.34737324
863	98.8059783
864	98.31069074
865	97.78068341
866	97.25696411
867	96.73944811
868	96.26407198
869	95.75736727
870	95.25663833
871	94.76180511
872	94.30536685
873	93.82080061
874	93.34191524
875	92.88113145
876	92.5166868
877	92.08060258
878	91.61835389
879	91.16151769
880	90.71002213
881	90.35901655
882	89.94235754
883	89.4919163
884	89.055708
885	88.62459278
886	88.18728547
887	87.7649906
888	87.35527963
889	87.02343396
890	86.6007171
891	86.27223588
892	85.94848956
893	85.62941399
894	85.31494577
895	85.00502223
896	84.69958142
897	84.3985621
898	84.10190375
899	83.80954657
900	83.52143143
901	83.23749991
902	82.95769429
903	82.68195751
904	82.41023322
905	82.14246571
906	81.87859994
907	81.61858156
908	81.36235685
909	81.11440398
910	80.86900429
911	80.59874342
912	80.35746206
913	80.11866418
914	79.71208123
915	79.469686
916	79.23520208
917	79.00313896
918	78.60318048
919	78.37378594
920	78.12156072
921	77.6702016
922	77.4450315
923	77.22220133
924	76.77846138
925	76.55828865
926	76.31575109
927	76.09931658
928	75.6631126
929	75.44926581
930	75.23765185
931	74.80878211
932	74.57558606
933	74.25089228
934	74.06082142
935	73.74190306
936	73.55413324
937	73.36812349
938	73.03773667
939	72.85387674
940	72.67174214
941	72.34730569
942	72.16726792
943	71.86446297
944	71.68657479
945	71.51035714
946	71.19622837
947	71.02202154
948	70.84945258
949	70.54089255
950	70.37028536
951	70.20128411
952	69.89816252
953	69.73107533
954	69.34862899
955	69.18372547
956	68.88795426
957	68.72491434
958	68.35011797
959	68.18921427
960	67.81936035
961	67.53270728
962	67.37420859
963	67.10587335
964	66.78209688
965	66.46241298
966	66.10564685
967	65.81078238
968	65.50007418
969	65.21141458
970	64.90729513
971	64.56375771
972	64.283484
973	63.98787583
974	63.71346202
975	63.42408292
976	63.09323662
977	62.80951771
978	62.48454371
979	62.22267718
980	61.94687037
