iter	Passed	Remaining
0	0	313
1	0	230
2	0	181
3	0	150
4	0	135
5	0	137
6	0	132
7	1	148
8	1	157
9	1	153
10	1	147
11	1	141
12	1	135
13	1	129
14	1	125
15	1	122
16	2	124
17	2	122
18	2	119
19	2	117
20	2	113
21	2	110
22	2	107
23	2	108
24	2	106
25	2	110
26	3	108
27	3	107
28	3	105
29	3	106
30	3	111
31	3	110
32	3	108
33	3	107
34	3	106
35	3	105
36	4	104
37	4	104
38	4	104
39	4	103
40	4	101
41	4	102
42	4	100
43	4	100
44	4	103
45	4	101
46	4	100
47	4	98
48	5	98
49	5	97
50	5	96
51	5	95
52	5	94
53	5	93
54	5	93
55	5	92
56	5	91
57	5	91
58	5	92
59	5	92
60	5	90
61	5	89
62	5	88
63	6	88
64	6	87
65	6	87
66	6	86
67	6	85
68	6	86
69	6	86
70	6	86
71	6	86
72	6	85
73	6	85
74	6	84
75	7	85
76	7	85
77	7	84
78	7	83
79	7	82
80	7	82
81	7	82
82	7	81
83	7	81
84	7	80
85	7	80
86	7	80
87	7	80
88	7	80
89	7	80
90	8	80
91	8	81
92	8	81
93	8	81
94	8	81
95	8	80
96	8	80
97	8	80
98	8	81
99	8	80
100	9	80
101	9	79
102	9	80
103	9	81
104	9	80
105	9	80
106	9	80
107	9	80
108	9	79
109	9	79
110	9	79
111	9	79
112	10	80
113	10	79
114	10	79
115	10	79
116	10	79
117	10	79
118	10	78
119	10	78
120	10	78
121	10	78
122	11	78
123	11	78
124	11	77
125	11	77
126	11	77
127	11	76
128	11	76
129	11	76
130	11	76
131	11	76
132	11	75
133	11	76
134	11	76
135	12	76
136	12	76
137	12	76
138	12	76
139	12	76
140	12	75
141	12	75
142	12	75
143	12	75
144	12	75
145	12	75
146	12	74
147	12	74
148	12	74
149	13	73
150	13	73
151	13	73
152	13	73
153	13	73
154	13	74
155	13	74
156	13	73
157	13	73
158	13	73
159	13	73
160	13	72
161	14	73
162	14	73
163	14	72
164	14	72
165	14	72
166	14	72
167	14	72
168	14	72
169	14	71
170	14	71
171	14	71
172	14	70
173	14	70
174	14	70
175	14	70
176	15	70
177	15	69
178	15	69
179	15	69
180	15	69
181	15	68
182	15	68
183	15	68
184	15	68
185	15	68
186	15	67
187	15	67
